"TFs module","Composition"
"red","ARID3A,ARID3B,ARID4A,ASCL1,ATF6,CREB3L1,DACH1,DAXX,DNMT3A,E2F1,E2F2,E2F3,E2F4,E2F5,FIGLA,FOXG1,FOXN4,GLI2,HCFC1,HDAC5,HDAC7,HDAC9,HOPX,HOXA10,HOXB13,HOXB3,HOXC8,HOXD8,HSF4,KMT2B,MBD1,MECP2,MEIS2,MEOX2,MTA2,MTF2,MYBL2,MYC,MYCN,NAB2,NCOR1,NFYA,NKX6.1,NKX6.3,NPAS4,NRF1,PAWR,POU4F1,SALL3,SETBP1,SF1,SHOX2,SIRT1,SMARCA1,SMARCA4,SMARCB1,SOX11,SRSF2,STOX1,TADA2A,TCF7L1,TFAM,TFDP1,UTF1,WWTR1,YAP1,YY1,ZBTB18,ZFPM1,ZKSCAN7,ZNF143,ZNF160,ZNF382,ZNF76"
"yellow","ASCL2,ATOH1,BRD4,CHD4,CREB3L3,CREBBP,CRX,CTCFL,DLX3,DLX5,DMRT1,EGR4,ELK1,ERF,ESRRA,ESRRB,ESRRG,ETV3,FEV,FEZF1,FOXF2,FOXL2,GCM1,GRHL2,GSC,GTF2IRD1,HDAC1,HES6,HIF3A,HIPK2,HIVEP1,HMGB2,HNF4G,HOXB6,HOXC13,HOXD4,ID4,IRX4,ISL1,KDM5A,KDM5C,KLF12,KLF17,LHX1,LHX3,LHX4,LRRFIP1,MAFA,MAML1,MEIS1,MESP2,MXD1,NCOA1,NCOA2,NCOR2,NEUROD1,NEUROD2,NEUROD6,NEUROG1,NEUROG2,NEUROG3,NFIC,NFIX,NR1D2,NR1I2,NR2C1,NR4A1,NR5A2,NR6A1,NRL,PAX4,PAX7,PDX1,PHOX2A,PHOX2B,PML,POU1F1,POU2F3,POU3F4,POU4F2,POU5F1,PPARGC1A,PPARGC1B,PROP1,PTF1A,RORA,RREB1,SALL2,SIM2,SMARCC1,SOX3,SP4,TBX15,TBX3,TCF15,TGIF1,THAP11,THRA,TLX2,TRERF1,TRPS1,ZBTB14,ZBTB32,ZFP42,ZMYND8,ZNF202,ZNF217,ZNF236,ZNF350,ZNF436,ZNF699"
"blue","ARID1A,ARID5B,ARNT,ARX,ASXL1,BARX1,BCL11A,BCL11B,BHLHE40,BHLHE41,BMAL1,BTG2,CDX1,CEBPA,CLOCK,CREM,CTBP1,CTNNB1,DEAF1,DLX1,DNMT1,EBF3,ELF3,ERG,ESR2,ETV6,FOXC2,FOXF1,FOXI1,FOXO3,FOXO4,FOXP1,FOXP2,FOXQ1,GATA1,GATA2,GATA4,GATA6,GFI1,GLI1,GRHL3,GTF2I,HBP1,HDAC4,HESX1,HHEX,HLF,HMGA2,HOXA11,HOXA13,HOXA2,HOXA5,HOXA9,HOXB7,HOXB9,HOXC6,HOXD13,IKZF3,IKZF4,KDM5B,KLF1,KLF11,KLF15,KLF2,KLF6,KLF7,KLF9,MAFG,MAX,MEF2B,MEF2D,MKX,MLXIP,MLXIPL,MNX1,MSX2,MYF5,MYOCD,MYT1,MZF1,NFAT5,NFATC4,NKX2.5,NKX3.2,NR0B1,NR1H3,NR1H4,NR5A1,NRG1,OLIG1,OVOL1,PAX2,PAX3,PBRM1,PBX1,PBX2,PGR,PITX3,PLAGL1,POU3F2,PPARD,PRDM16,PRDM2,RARB,RARG,RB1,RFX1,RFX2,RXRB,SIX1,SMAD5,SMAD6,SMAD7,SOX7,SOX9,SRY,TAF1,TBX1,TBX20,TBX6,TCF21,TEF,TFAP2C,TFCP2,TFDP3,TFEB,TGFB1I1,TOX,TOX3,TP53,TP63,TP73,TRIM28,TTF1,VHL,ZBTB16,ZFPM2,ZGLP1,ZHX2,ZNF24,ZNF335,ZNF362,ZNF423,ZNF91"
"green","AR,ARID4B,ATF7,BACH2,CDX2,CREB5,DBP,DLX2,E2F6,E2F7,ELK3,ELK4,ENO1,FOXA1,FOXA2,FOXD3,FOXJ1,GATA5,HEY1,HEY2,HNF1A,HNF1B,HNF4A,HOXB4,HSF2,ING4,INSM1,IRX1,JARID2,KAT2B,KLF4,LHX8,LMO4,LYL1,MECOM,MED1,MEF2C,MSX1,MTA3,MXI1,MYF6,MYOD1,MYOG,NCOA6,NFE2L2,NFIA,NHLH1,NHLH2,NKRF,NONO,NPAS2,NR1H2,NR1I3,NR3C1,NR4A2,ONECUT1,OTX2,PITX1,PLAG1,PLAGL2,POU3F1,POU4F3,PPARA,PPARG,PRDM4,PROX1,PURA,RCOR2,RFX3,RXRG,SALL1,SALL4,SFPQ,SIX4,SKIL,SMAD9,SMARCA5,SOX2,SOX4,SPDEF,SREBF1,SREBF2,SUPT20H,TBPL2,TCF20,TEAD2,TSHZ3,VSX1,VSX2,YBX3,ZBTB33,ZFHX3,ZNF331"
"turquoise","ABL1,AHRR,AIP,APEX1,ATF5,ATOH7,BARX2,BCLAF1,BHLHA15,BRCA1,CTCF,DDIT3,DMAP1,DMTF1,DNMT3B,E4F1,ELF5,EMX2,EN1,EP300,EZH2,FEZF2,FGF2,FOXA3,FOXD1,FOXE1,FOXH1,FOXM1,FOXN1,FOXO6,GBX2,GLIS3,GTF3A,HAND1,HAND2,HDAC3,HES1,HES5,HEYL,HINFP,HOXA4,HOXA7,HOXB1,HOXB2,HOXB5,HOXD1,HOXD10,HSF1,ID3,IRF2BPL,KAT5,KCNIP3,KDM2A,KLF13,KLF8,LEF1,LHX2,LITAF,LMX1A,LMX1B,MAFK,MAZ,MBD2,MEF2A,MEOX1,MIXL1,MLX,MNT,MTF1,MYBL1,MYRF,NACC1,NANOG,NCOA3,NFE2,NFE2L1,NFIB,NFYC,NKX2.1,NKX2.2,NKX3.1,NKX6.2,NPM1,NR0B2,NR1D1,NR2E1,NR2E3,NR2F6,NSD2,NUPR1,OLIG2,PA2G4,PARK7,PATZ1,PAX1,PAX6,PAX8,PAX9,PEG3,PIAS1,PREB,PRRX1,RLF,RORB,RORC,RUNX2,RXRA,SCX,SIN3A,SIX3,SNAI2,SON,SOX10,SOX17,SOX18,SOX5,SOX6,SP2,SP6,TBP,TBPL1,TBR1,TBX2,TBX5,TBXT,TCF12,TCF4,TEAD1,TEAD4,TFAP2D,TFDP2,THRB,TSC22D1,UBTF,VENTX,VEZF1,WT1,YBX1,ZBED1,ZBTB17,ZBTB38,ZBTB4,ZBTB7A,ZBTB7B,ZFP64,ZFX,ZGPAT,ZIC1,ZIC2,ZNF148,ZNF219,ZNF384,ZNF410,ZNF804A"
"black","AIRE,ATF1,ATF2,ATF3,BCL3,BCL6,BMAL2,CEBPB,CEBPD,CEBPG,DLX4,EGR1,EGR3,ELF2,ETV2,ETV4,FLI1,FOSL2,FOXC1,FOXO1,FOXP3,GATA3,GFI1B,GLI3,HIC1,HIF1A,IKZF1,JDP2,JUND,KAT6A,KLF10,KLF5,LMO2,MAFB,MITF,MSC,NFATC3,NFE2L3,NFIL3,NOTCH1,NR2F1,NR2F2,NR3C2,PITX2,PKNOX1,RARA,RUNX1,SMAD1,SMAD2,SMAD3,SMAD4,SNAI1,SP1,SRF,SSRP1,STAT5B,STAT6,TAL1,TFAP2A,TLX3,TWIST1,USF1,USF2,ZNF354C"
"brown","AEBP1,AHR,AP1,ARID1B,ATF4,BACH1,BATF,BCOR,CEBPE,CEBPZ,CIITA,CREB1,CREB3,CREBZF,CTBP2,CUX1,CXXC1,DOT1L,EBF1,EGR2,EHF,ELF1,ELF4,EOMES,EPAS1,ESR1,ETS1,ETS2,ETV1,ETV5,ETV7,EWSR1,FHL2,FOS,FOSB,FOSL1,GABPA,HDGF,HIVEP2,HIVEP3,HLX,HMGA1,HOXA1,HOXD3,HR,HTATIP2,ID1,ID2,IKZF2,IRF1,IRF2,IRF3,IRF4,IRF5,IRF6,IRF7,IRF8,IRF9,JUN,JUNB,KAT6B,KAT7,KDM5D,KLF3,KMT2A,MAF,MTA1,MYB,NFATC1,NFATC2,NFKB,NFKB1,NFKB2,NFKBIB,NFKBIZ,NFX1,NFYB,NOTO,NR2C2,NR4A3,PAX5,PHF20,PHF5A,PIN1,POU2AF1,POU2F1,POU2F2,PRDM1,RBPJ,REL,RELA,RELB,REST,RFX5,RFXANK,RFXAP,RUNX3,SATB1,SATB2,SP3,SP7,SPI1,SPIB,SPIC,STAT1,STAT2,STAT3,STAT4,STAT5A,TBX10,TBX18,TBX21,TCF3,TCF7,TCF7L2,TET1,TFAP2B,TFAP4,TFE3,TLX1,TWIST2,VDR,XBP1,ZEB1,ZEB2,ZNF263,ZNF300,ZNF395,ZXDC"
