"","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","Epidish_CCLE.TIL10_B.cells","B.cells_Subgroup.1.Iteration.2","B.cells_Subgroup.2.Iteration.2","DeconRNASeq_LM22_B.naive.cells","Epidish_LM22_B.naive.cells","CBSX_LM22_B.naive.cells","B.memory_Subgroup.1.Iteration.1","Macrophages.cells_Subgroup.1.Iteration.1","Macrophages.cells_Subgroup.2.Iteration.1","DeconRNASeq_LM22_Macrophages.M0","Macrophages.M0_Subgroup.1.Iteration.1","Quantiseq_Macrophages.M1","DeconRNASeq_BPRNACanProMet_Macrophages.M1","Epidish_TIL10_Macrophages.M1","CBSX_TIL10_Macrophages.M1","Macrophages.M1_Subgroup.1.Iteration.1","Macrophages.M1_Subgroup.2.Iteration.1","DeconRNASeq_BPRNACanProMet_Macrophages.M2","CBSX_CCLE.TIL10_Macrophages.M2","CBSX_TIL10_Macrophages.M2","Macrophages.M2_Subgroup.3.Iteration.1","Macrophages.M2_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACan3DProMet_Monocytes","Monocytes_Subgroup.2.Iteration.1","Monocytes_Subgroup.4.Iteration.1","Monocytes_Subgroup.1.Iteration.2","Monocytes_Subgroup.2.Iteration.2","Quantiseq_Neutrophils","MCP_Neutrophils","Neutrophils_Subgroup.2.Iteration.1","Neutrophils_Subgroup.3.Iteration.1","Neutrophils_Subgroup.1.Iteration.2","Quantiseq_NK.cells","XCell_T_cell_NK.cells","DeconRNASeq_CBSX.Melanoma.scRNAseq_NK.cells","Epidish_CCLE.TIL10_NK.cells","CBSX_CCLE.TIL10_NK.cells","Epidish_TIL10_NK.cells","CBSX_TIL10_NK.cells","NK.cells_Subgroup.1.Iteration.1","NK.cells_Subgroup.1.Iteration.2","Epidish_LM22_NK.activated","DeconRNASeq_LM22_NK.resting","Epidish_LM22_NK.resting","CBSX_LM22_NK.resting","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","XCell_T_cell_CD4.cells._central_memory","XCell_T_cell_CD4.cells._effector_memory","XCell_T_cell_CD4.cells._Th1","XCell_T_cell_CD4.cells._Th2","CBSX_BPRNACanProMet_CD4.cells","CBSX_CBSX.HNSCC.scRNAseq_CD4.cells","CBSX_CBSX.Melanoma.scRNAseq_CD4.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","CBSX_CCLE.TIL10_CD4.cells","CBSX_TIL10_CD4.cells","CD4.cells_Subgroup.1.Iteration.1","CD4.cells_Subgroup.2.Iteration.1","CD4.cells_Subgroup.3.Iteration.1","CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.resting","CD4.memory.resting_Subgroup.1.Iteration.1","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_TIL10_CD8.cells","CD8.cells_Subgroup.1.Iteration.4","CBSX_CCLE.TIL10_T.cells.regulatory","T.cells.regulatory_Subgroup.1.Iteration.1","T.cells.regulatory_Subgroup.3.Iteration.1","T.cells.regulatory_Subgroup.1.Iteration.2","Quantiseq_T.cells.non.regulatory","T.cells.helper_Subgroup.1.Iteration.1","MCP_Dendritic.cells","Epidish_CBSX.HNSCC.scRNAseq_Dendritic.cells","CBSX_CBSX.HNSCC.scRNAseq_Dendritic.cells","DeconRNASeq_CCLE.TIL10_Dendritic.cells","CBSX_CCLE.TIL10_Dendritic.cells","CBSX_TIL10_Dendritic.cells","XCell_Myeloid_Dendritic.activated.cells","DeconRNASeq_LM22_Dendritic.activated.cells","CBSX_LM22_Dendritic.activated.cells","DeconRNASeq_LM22_Dendritic.resting.cells","CBSX_CCLE.TIL10_Cancer","DeconRNASeq_CBSX.HNSCC.scRNAseq_Cancer","DeconRNASeq_CBSX.Melanoma.scRNAseq_Cancer","Cancer_Subgroup.1.Iteration.1","Epidish_CBSX.Melanoma.scRNAseq_Endothelial","Endothelial_Subgroup.1.Iteration.1","Plasma.cells_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_Myocytes","MCP_Fibroblasts","DeconRNASeq_CBSX.HNSCC.scRNAseq_Mast.cells","Mast.resting_Subgroup.1.Iteration.1","XCell_CAF","DeconRNASeq_CBSX.HNSCC.scRNAseq_CAF","CAF_Subgroup.1.Iteration.1"
"LP.01.01",0.398658572659064,0.87516628034484,0,0.505965322018569,0.620453958512216,0.660481019602184,0.724169861747737,0.777001928039058,0,0.448574677485543,0.720156914534475,0.240407828989076,0.14177482820926,0.173361634208834,0.724469906444134,0.444876898591159,0.43391730153098,0.53102736671205,0.395334676578856,0.684835182503389,0.549934175109542,0.983330155620487,0.6890383057099,0.718829141754265,0.473349864916141,0,0.454897958444819,0.185600927222106,0,0.404231212861583,0.667251544651283,0.442745263015723,0.00222423796577788,0.106169165758556,1,0.607079263504959,0.160924935036989,0.89322174012122,0.528233484833503,0.527693384546704,0,0.376464280984853,0.949125589753282,0.880639282337686,0,0,0.0107066598747879,0.577698870192607,0,1,1,0.0652481493761101,1.27553287359084e-17,0.0420397356253237,0.514036225633344,0.56142066652124,0.466032350593045,0.776632756600984,0.655050459029067,0.700251200685833,0.883419366302775,0.374901147576498,0,1,0.867264141573457,0.155391146811073,0.123092631702085,0,0.252664511080334,0,0.0980909940991163,0,0.672956613544773,0.367137169027249,0.242472228096591,0.731823853534846,0,0.151532035100568,0,0.167675305282469,0,0.473032676843407,0.558507970265468,0.175021081558666,0.321060239646008,0.310449854588124,0.59577205042914,0.717142947071942,0.965505185874039,0.207364528559929,0.570355822084559,0.335936684640177,0.443360829806869,0.902559017767114,0.856383094327085,0.592439447110195,0.629517067996121,0.905805200576933,0.724280395323222
"LP.01.02",0.750083650366486,0.800417774601712,0,0.189072257056056,0.273275713168715,0.117865250442384,0.697183913831084,0.263310615101173,0,0.585277618987518,0.825431201182828,0,0.42117460865605,0.10342023126388,0.666118406349085,0.503173637447658,0.443939852583464,0.593275171264729,0.118823420538111,0.9375107946649,0,0.324773017912299,0.746709703571196,0.655913847434643,0.842387157449573,0.501707456210341,0.923532724365649,0.931684582476224,0.353779659489806,0.524204334235632,0.777411511620746,1,0.700679995527249,0.424856089763158,0.765253407957729,0.0721217465201893,0.233941331135193,0.369393180999969,0.0174564913074983,0,0,0.415630992627904,0.816510553548737,0.414251549822659,0,0,0,0.491745554463565,0,1.19383971956549e-17,0,7.30582050707529e-18,0.00819460721625058,0.468843870753625,0.369755957198171,0.368060112446594,0,0.967444079805715,0.231971040498851,0.80925532453755,0.783189306806196,0.358373808869686,0,0.815467036484466,0.858440957130187,0,0.691980811633813,0,0,0,0.0365908871198166,0,0.361700943639892,0.445094257632025,0.228104795075758,0.847615851607895,0,0.354904114090811,0.0204040093083454,0,0,0.356921570026354,0.628884295278473,0.114867861651593,0.805465058229394,0.155217253563877,0.573453747001186,0.695181966298414,0.949765297948205,0.789346412587662,0.885395229149294,0.0475332870469375,0.604853442607623,0.850574206466279,1,1,0.751417155571985,0.861385486527735,0.715228608008642
"LP.01.03",0.346175396710841,0.884363113460137,0,0.422365592879038,0.481258806735524,0.592792866689721,0.582416396099792,0.2841743772672,0,0.583641225544312,0.748157782669226,0,0,0.169423835386962,0.604876315665193,0.527913452691378,0.647424271509275,0.55234087264081,0.037659316673964,0.8934856986751,1,0.207740254527044,0.675844209136134,0.661638424442269,0.749930262019579,0.822390708846834,1,0.24339129806893,0.233164524919163,0.926683732829503,0.718011242934846,0.707096642920913,0.123305664876017,0.0769105195173162,0.413513589325858,0.0560757377963482,0.34112991866885,0.743581428317021,0.324145845576763,0,0,0.387809496861719,0.765101567032479,0.714204055787386,0,0,0,0.404494986923856,0,0.211737841075399,0,0,0,0.885059533794354,0.575861938988783,0.843170528682829,0.411489817433282,0.576511454588949,0.47941676330211,0.91454300995463,0.927646527387014,0.0967611443219888,0,0.646278678393845,0.815180611252582,0.415438054563203,0.118513560460791,0,0.068974415281481,0.253822029775545,0.638606540650793,0.0496133477930578,1,0.194377202425313,0.772344198166941,0.885872627259356,0.151781671607075,0.446362684811272,0,0,0,0.613842761588268,1,0.555812851222028,0.63565170541347,0.088354555086899,0.441260437437615,0.649040689262477,0.877775747433174,0.682037918577484,0.753615444048539,0.181611646741891,0.284917478962856,0.705446888430626,0.925955134489617,0.672080576500302,0.656381627510757,0.823877996453625,0.539002650934739
"LP.01.04",0.624247509901298,0.884213485430044,0,0.288584293198393,0.690610642917084,0.546695196394581,0.718498313617197,0.383543326019525,0,0.379382370085184,0.738982393851941,0.706527184680023,0.298039877420782,0.192640808310143,0.744568030113303,0.71793161671762,0.595388177706368,0.564980414327157,0.225735096452005,0.73091458618135,0.324122501429162,0.48285914717795,0.678607395342778,0.477988088060405,0.594702701763336,0,0.282539527500055,0.274826519095941,0,0.19724489245455,0.756198257921321,0.256887929896422,0,0.730799363061317,0.594101388862713,1,0.627207012322433,0.144199356542015,0.0293200991250875,0.443709096746419,0,0.43175387847546,0.793257211004827,0.76755644153455,0.103611796457636,0.292755725161944,0.664088154990944,0.564306897225437,0,1.53167204016006e-16,4.84905156082059e-16,1,0.121985845947499,0,0.315219388563218,0.144723567368307,0,0.164662200378081,0.749966088923062,0.466459415605612,0.481363334159589,0,0.0841791500168198,0.406144042951289,0.554549082452402,0.141169947992971,0.672929261040919,0,0.0800093759406509,0,0.0668013855825835,0,0.446815653987072,0.744037534975236,0.905647932389924,0.448768427924795,0.390146864245598,0.35075253664624,0,0.824407059907694,0,0.19743225212754,0.544322632748282,0.317725357105924,0,0.738211226972074,0.726090684712306,0.710821837366467,1,0.189777534883355,0.631092663327709,0.593630439801676,0.679385812576904,0.928569873386791,0.841555801644752,0.500949854075891,0,0.83541699441704,0.927271768227083
"LP.01.10",0.384709013353224,1,0,0.358477475783501,0.419553159772171,0.619284370811759,0.536164131064831,0.855713341053978,0,0.557286398349854,0.832580459190667,0.165914025080608,0.0635738220009835,0.274181813353988,0.798957441040136,0.459438219525575,0.448927070423815,0.577855906361737,0.637243163808919,0.67674039001171,0.257051558949985,0.413229160386044,0.817801359409715,0.737699479977679,0.600700986989884,0,0.475770880635188,0.188822549642518,0.0424143526294792,0.499490579564269,0.597931090912258,0.580405630247546,0.254739026498066,0.142859709693543,0.501765085252506,0.17175714421644,0.417424510828102,0.996257378905889,0.160419216035788,0.847880830095116,0,0.615866763993656,0.781938777514516,0.162729803157155,0.303580191285628,0.70481020787605,1,0.469831954078892,0.191720666191634,0.520247849002112,0.178013333347009,0.058772177935714,0.0151376583968566,0.143516854427238,0.282005961680313,0.373514460862877,0.17586821000973,0.888424895101333,0.847931922455732,0.598156348718974,0.725495014696704,0.167531855584632,0.0897356756111585,0.773182785406624,0.68926041486572,0.163599020064168,0,0.15623239062079,0.286360140851403,0,0.261490811606422,0,0.617808524055702,0.997153705358723,0.43742073792369,0.702628910960051,0.26190059362597,0.481388637239735,0,0,0,0.667007196504926,0.632796298886059,0.336389479704203,0.325877851581669,0.31483812609754,0.660763188579177,0.607408436432628,0.959337463418207,0.226472414001344,0.530778675078526,0.158304011208271,0.0850712176339263,0.848198864493431,0.863897870835229,0.635099235371204,0.954319014180846,0.928530872042947,0.852609980344085
"LP.01.12",0.496759695610551,0.870341570164613,0,0.197932877776689,0.328147747099614,0.195482336591742,0.507795884135145,0.585545889616801,0,0.723728324829709,0.856372727910169,0,0.374192173211611,0.19368895591473,0.659100139772718,0.770302088435346,0.909033814659858,0.738708761535709,0.0637878314015198,0.954730866643452,0.208569087037245,0,1,0.689595091112371,1,0.691424228801032,0.785452167307521,0.521325442451645,0.499837283724954,0.722471293692562,0.697577674860641,0.736824845175582,0.00833476627300817,0.498257982516813,0.521033286620762,0.0330026153840017,0.487059993556053,0.91947518506997,0.274497481649118,0,0,0.812660774987324,0.774777652006021,0.421254998142151,0.255172463101086,0.560675118256285,0.657645261270804,0.387134927298528,0,1.71599121862328e-17,0,0,9.60359317409518e-20,0.541459124974543,0.270599607247497,0.570127568269506,0.321789046948613,0.752521615908122,0,0.72318855008391,0.741101957599545,0.247325872602634,0,0.841653968208858,0.663537956428638,0.583121281335127,0.229567293816839,0.107057031566964,0.0794817022757653,0,0.328131838566224,0,0.426368808391538,0.195401556147756,0.129413804471397,0.697412269490682,0,0.135902234092946,0.354028163051142,0,0,0.261487102844326,0.755155436165136,0.32237414552684,0.256786693238507,0,0.500054365467661,0.513171723399301,0.89686307633318,1,0.896757170335964,0.119915074710596,0.435336059577239,0.804739756543647,0.828497254354019,0.593927447088876,0.907936664699721,0.862288502833877,0.735960871060366
"LP.01.14",0.278495006121159,0.925172213327922,0.333447684972721,0.949436548889779,0.753472737471624,0.789153744896583,0.508503935458254,0.0315252504847641,0.940355792566865,0.545052922764234,0.734517588136941,0.163507886533804,0.135556191927734,1,0.842154970851539,0.591874514732815,0.63248724378746,0.647285036069723,0.87105937992405,0.566071741246381,0.11954190501002,0.419431289182645,0.659857016069216,0.501656204655083,0.477737126811466,0,0.226552433075548,0.16746684069696,0,0.571390139883109,0.533801562898892,0.0176108598505097,0,0.0453074603718192,0.611663045196686,0.198980771809898,0.482087619457585,0.929484026291723,0.419086659689468,1,0.708627918793215,0.688017225398347,0.692483881548954,1,0.250612926239471,0,0.396520291301653,0.275979652755393,0,0.289102847735231,0.0129485934518845,0.0479543238083699,0.106325814309925,0,0.566254383257251,0.0959098716443815,0.172786344291057,0.581106147165605,0,0.283079640112205,0.850688072382276,0,0.156830380456105,0.720449170577548,0.59742199262665,0.575294315817525,0.307466726713879,1,0.570109490317762,0,0.248095377758272,0.213181010917587,0.345559468561997,0,0.508098983985104,0.582585783905667,0,0.294117619129422,0,0,0.149723084981192,0.639899109788665,0.424313657458253,0.0531215450249895,0.191868474817368,0.556407216024043,0.583537622025623,0.494399838496177,0.890644619467048,0.296890441257478,0.509245309711212,0.437856548300288,0,0.772078200027253,0.787280472355654,0.330871622362834,1.3573858448752e-18,0.865196797524138,0.772066588098986
"LP.01.16",0.363283053317378,0.884250537561537,0,0.560632068336844,0.514708562648045,0.33114531990868,0.458912234516192,0.0538170965968843,0.433739447639556,0.6625616459055,0.785809420790186,0.295592205898696,0.604658103454941,0.241503582285206,0.842937888877099,0.592282739607866,0.631568963122732,0.781231131324006,0.64348696916647,0.650387286193339,0.14436908932938,0.127915013207899,0.750896593167634,0.70504026151464,0.777226329919487,0,0.362501527023913,0.470080774540658,0.0171833967388438,0.448550604108523,0.625130747645124,0.587238790789543,0.317687454375031,0.418702397731426,0.676416605435835,0,0.580460146658696,0.458039593319316,0.428547314535157,0.318582766971488,1,0.600032127407977,0.462926231799526,0.679984615133303,0.226885287667465,0,0.637178562946484,0.32234702998628,0,9.57866556452082e-17,0.0299288641486159,0,0.213988514449412,0.475159663842731,0.59879199733282,0.211666182004622,0.140858203296541,0,0.567881444934411,0.296702529358177,0.679224438010961,0,0.597016040397511,0.67145129876229,0.489818595527904,1,0.388286763270893,0,0.530875257470288,0.378800871920656,0.238599733705084,0,0.249581312444661,0.0572141846967609,0.350077218284194,0.597339057602018,0.289624689942329,0.568322002968001,0,0.573209723988203,0,0.407999725671555,0.385891933468953,0.221250238478819,0,0.46632020522284,0.589790659234794,0.457800481350438,0.901049113130121,0.265489249429393,0.326121782792025,0.480512960142882,0,0.822246857639819,0.810911930764817,0.255727956371586,0.223125681878523,0.915637151041288,0.853364072784282
"LP.01.18",0.352484479180047,0.96726503109086,0,0.306043713608487,0.386619176991999,0.231941304684137,0.266394481615535,0.188503061433358,0,0.722591268595232,0.904500984391826,0,0.238296904109944,0.801380476814522,0.754080438376084,0.479625094948138,0.591561043771197,0.686830049587729,0.325877713616976,0.728291894790276,0.44428871508477,0.410884200693539,0.994017530921672,0.622666389792914,0.792720205285019,0,0.44470164998229,0.401975844068665,0,0.738969699381302,0.617012138524476,0.470729549495947,0.418388783701464,0.372918500329274,0.449625313672432,0.0856902891364858,0.624029760946816,0.277352002685869,0.0212595821123417,0.293843751141417,0.191814540869754,0.546529265354438,0.586032900079195,0.106122969451841,0.19618558053694,0.512434987257811,0.115462181371038,0.521500047428393,0,2.65633534293842e-20,0.331428138250584,0.0708009235554448,0.147164585433997,0.0117547434236458,0.486626281989137,0.289374437463107,0,0.236091688371963,0.347616025134019,0.403537352497193,0.680738618956762,0,0.662257212930778,0.592808123125092,0.621771123153624,0.423846499562663,0.185284276229106,0,0.395421797226811,0,0.810076737338896,0.346994923889271,0.497924753679897,0,0.554376005689535,0.553046807646182,0.498875251319697,0.484682372448265,0,0.232042514359199,0.349606757735491,1,0.817721136228713,0.789870369743744,0.625695406020635,0.522653023804011,0.638603745129736,0.510335772990397,0.960788170915384,0.279820664663786,0.416241508691056,0.166173645677684,0.199860586927667,0.887029805444317,0.647026880088639,0.135752364570397,5.89783738483445e-17,0.809923557222683,0.733121473008057
"LP.01.19",0.299552647725044,0.671793975567281,0,0.291520834491249,0.339534009122715,0.531398173236809,0.746268061314665,1,0,0.421986885430561,0.799554426404446,0,0.0234610660715145,0.624403963927884,0.7255279298494,0.452155051082627,0.756471519767919,0.646518108699119,0.402136214417505,0.79639352255694,0.426357433132416,0.149179793644725,0.665409139665172,0.558484938220701,0.672118136785812,0.0585166318139077,0.599940793100965,0.249957141458189,0,0.889915055657369,0.67550240676974,0.651739621543624,0.439078080779635,0.0613835650541332,0.745056508268406,0.157534994352363,0.364894331899381,0.643880671735753,0.0439721756644867,0,0.0466293948673782,0.382062187010009,0.656045178181602,0.435199588765073,0,0,0.0605540529746372,0.580918788913955,0.437154966510085,0.593444917277882,0.48407149259279,2.10710322004574e-18,0.0883980651389367,0.742713828732793,1,1,0.826322780375438,0.57477445600846,0.523152716418034,0.831236196658432,0.945196726773314,0.752028383132717,0.0989582585393458,0.884020516886574,0.934012406334604,0.0903731419008081,0.289217548246295,0,0.308823990619314,1,0.422591442376135,0,0.825422023175958,1,0.58124596284228,0.998444666462573,0.307530394424943,0.263900984163045,0,0,0,0.460045276127606,0.70643648770734,0.338553855477605,0.900508508315446,0.24751242704446,0.57482158485628,0.693869448323667,0.920629125201951,0.243695023854671,0.681399562907563,0.103907277273947,0.425464647753361,0.74367802787627,0.805898420313865,0.430640548844131,0.361811900722964,0.819056260057345,0.670639384492027
