"TFs module","Composition"
"blue","AR,ARNT,ASXL1,ATF7,BCLAF1,BHLHE40,BHLHE41,BMAL1,BTG2,CDX2,CEBPA,CLOCK,CREB1,CREB5,DBP,DEAF1,DLX1,E2F7,EBF3,ELF3,ELK4,ESR2,ESRRB,ESRRG,FEV,FOXA2,FOXC2,FOXI1,FOXJ1,FOXL2,FOXO4,FOXP1,FOXP2,GATA4,GATA5,GATA6,GFI1,HDAC4,HESX1,HNF1A,HNF1B,HNF4A,HOXA13,HOXA2,HOXB7,INSM1,IRX1,KAT2B,KDM5B,KLF1,KLF11,KLF15,KLF4,KLF6,KLF7,KLF9,LITAF,LMO4,MAFG,MAFK,MECOM,MEF2B,MEF2C,MLXIP,MNX1,MSX1,MSX2,MXI1,MYF5,MYF6,MYOD1,MYOG,NCOA6,NFIB,NHLH1,NHLH2,NKRF,NPAS2,NR0B1,NR1H3,NR1H4,NR1I3,NR3C1,NR4A1,NR4A2,NR5A1,OLIG1,ONECUT1,PGR,PITX1,PITX3,PLAG1,PLAGL2,POU3F2,PPARA,PPARD,PPARG,PRDM16,PRDM4,PROX1,RB1,RFX2,RFX3,RORC,RXRG,SALL1,SALL4,SIX4,SKIL,SMAD5,SMAD7,SMARCA5,SOX2,SOX4,SPDEF,SRY,TAF1,TBPL1,TBPL2,TBX20,TEAD4,TEF,TFAP2C,TFCP2,TFDP3,TOX,TP73,TRIM28,TSHZ3,TTF1,VHL,VSX1,ZFPM2,ZGLP1,ZIC1,ZNF24"
"turquoise","AHRR,AIP,ARID3B,ARID4B,ATF6,ATOH1,BACH2,BHLHA15,BRD4,CREB3L3,CRX,CTCFL,DLX2,DLX3,DMRT1,DNMT3A,E2F6,ELK1,ELK3,ENO1,ERF,ESRRA,ETV3,FEZF1,FEZF2,FIGLA,FOXA1,FOXD1,FOXD3,FOXM1,FOXN4,FOXO6,GBX2,GCM1,GRHL2,GSC,GTF2IRD1,HDAC1,HDAC3,HES5,HES6,HEY1,HEY2,HIF3A,HIPK2,HIVEP1,HMGB2,HNF4G,HOXA10,HOXA11,HOXB13,HOXB4,HOXB6,HOXC13,HOXD1,HOXD8,HSF2,ID4,IRX4,ISL1,JARID2,KDM5A,KDM5C,KLF12,KLF17,LHX1,LHX2,LHX3,LHX4,LHX8,LMX1A,LMX1B,LYL1,MAFA,MED1,MEIS1,MEIS2,MESP2,MLX,MLXIPL,MTA3,MXD1,MYBL1,NAB2,NANOG,NCOA1,NCOA2,NEUROD1,NEUROD2,NEUROG2,NEUROG3,NFE2,NFE2L1,NFE2L2,NFIA,NFIC,NKX3.2,NKX6.3,NONO,NR1D1,NR1H2,NR1I2,NR2C1,NR2E1,NR5A2,NR6A1,NRL,OTX2,PARK7,PAX4,PAX7,PAX8,PAX9,PDX1,PHOX2A,PHOX2B,PIAS1,POU1F1,POU2F3,POU3F1,POU3F4,POU4F1,POU4F3,POU5F1,PPARGC1A,PPARGC1B,PROP1,PTF1A,PURA,RCOR2,RORB,RREB1,SALL2,SF1,SFPQ,SIM2,SIRT1,SIX3,SMAD6,SMAD9,SMARCC1,SON,SOX3,SP4,SREBF1,SREBF2,SUPT20H,TBP,TBX15,TBX3,TBX6,TCF20,TCF7L1,TEAD2,TFAP2B,TFAP2D,TGIF1,THAP11,TLX2,TRERF1,TRPS1,UBTF,UTF1,VSX2,YBX3,ZBED1,ZBTB14,ZBTB18,ZBTB32,ZBTB33,ZBTB4,ZFHX3,ZMYND8,ZNF202,ZNF217,ZNF219,ZNF236,ZNF331,ZNF335,ZNF350,ZNF382,ZNF423,ZNF436"
"yellow","ARX,ASCL2,ATOH7,BARX1,BARX2,BCL11A,CDX1,CTBP1,CTNNB1,E4F1,EMX2,EN1,ETV1,ETV6,FOXF2,FOXQ1,GATA1,GLI1,GRHL3,GTF2I,HAND1,HAND2,HES1,HHEX,HOXA5,HOXA7,HOXA9,HOXB2,HOXB5,HOXB9,HOXD13,IKZF4,KDM2A,LEF1,LRRFIP1,MAML1,MEF2A,MKX,MYRF,MYT1,MZF1,NFATC4,NKX2.1,NKX6.2,NR1D2,NR2E3,NRG1,NSD2,NUPR1,PAX2,PAX6,PBX1,PBX2,POU4F2,PRDM2,PREB,RARG,RLF,RXRA,SIN3A,SIX1,SOX10,SOX17,SOX18,SOX6,SOX7,SOX9,TBX1,TBX18,TBX5,TBXT,TCF21,TFEB,TGFB1I1,THRA,THRB,TLX3,TSC22D1,YBX1,ZBTB17,ZBTB38,ZBTB7A,ZGPAT,ZNF362,ZNF91"
"brown","ABL1,AIRE,ARID1A,ARID5B,ATF3,BCL11B,BMAL2,BRCA1,CEBPZ,CIITA,CTBP2,CXXC1,EBF1,EGR1,EGR3,ELF2,ERG,ETV2,ETV4,ETV7,FHL2,FOXC1,FOXF1,FOXO3,GATA2,GATA3,GFI1B,GLI3,HBP1,HDGF,HIC1,HIVEP2,HIVEP3,HLX,HOXA1,HOXC6,HR,ID2,IKZF3,IRF6,IRF7,IRF9,JDP2,KAT6A,KAT6B,KLF10,KLF2,MAFB,MAX,MEF2D,MYOCD,NFAT5,NFIL3,NFKBIB,NFYB,NKX2.5,NOTCH1,NOTO,NR2F1,NR2F2,NR4A3,OVOL1,PAX3,PBRM1,PHF5A,PITX2,PKNOX1,PLAGL1,POU2AF1,POU2F1,RFX1,RUNX3,SATB1,SATB2,SMAD2,SMAD3,SMAD4,SNAI1,SP1,SPIC,SRF,TBX10,TCF3,TET1,TFAP4,TFE3,TLX1,TOX3,TP53,TP63,TWIST1,TWIST2,USF1,USF2,VDR,ZBTB16,ZEB2,ZNF354C,ZNF395"
"red","AP1,ATF1,ATF2,BATF,BCL3,BCL6,CEBPB,CEBPD,CEBPG,CREB3,CUX1,DOT1L,EGR2,ELF1,ELF4,EOMES,ETS1,ETS2,ETV5,FLI1,FOS,FOXO1,FOXP3,HMGA1,IKZF1,IKZF2,IRF1,IRF2,IRF3,IRF4,IRF5,IRF8,JUN,JUNB,LMO2,MAF,MITF,MSC,MYB,NFATC1,NFATC2,NFATC3,NFE2L3,NFKB,NFKB1,NFKB2,NFKBIZ,NR2C2,NR3C2,POU2F2,RARA,RBPJ,REL,RELA,RELB,RFX5,RFXANK,RFXAP,RUNX1,SP3,SPI1,SPIB,SSRP1,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,TBX21,TCF7,ZXDC"
"black","ARID3A,ARID4A,CHD4,CREB3L1,CREBBP,DACH1,DAXX,E2F1,E2F2,E2F3,E2F4,E2F5,FOXE1,FOXG1,GLI2,HCFC1,HDAC5,HDAC7,HDAC9,HOPX,HOXB3,HSF4,KAT5,KCNIP3,KMT2B,MECP2,MEOX2,MNT,MTF2,MYBL2,MYC,MYCN,NCOR2,NEUROD6,NEUROG1,NFIX,NFYA,NKX6.1,NRF1,OLIG2,PAWR,SALL3,SETBP1,SHOX2,SMARCA1,SMARCA4,SMARCB1,SOX11,SP6,SRSF2,STOX1,TADA2A,TCF15,TFAM,TFDP1,TFDP2,WWTR1,YAP1,YY1,ZFP42,ZFPM1,ZKSCAN7,ZNF143,ZNF160,ZNF76"
"green","AHR,APEX1,ARID1B,ATF4,ATF5,BACH1,BCOR,CEBPE,CREM,CTCF,DLX4,DMAP1,DMTF1,DNMT1,EHF,EPAS1,ESR1,EWSR1,FOSB,FOSL1,FOSL2,FOXA3,FOXH1,GABPA,HIF1A,HLF,HMGA2,HOXD10,HOXD3,HSF1,HTATIP2,ID1,ID3,JUND,KAT7,KDM5D,KLF13,KLF3,KLF5,KLF8,KMT2A,MAZ,MBD2,MEOX1,MIXL1,MTA1,MTF1,NFX1,NR0B2,PA2G4,PATZ1,PAX5,PEG3,PHF20,PIN1,PRRX1,RARB,REST,RXRB,SMAD1,SNAI2,SP2,TAL1,TBR1,TCF7L2,TEAD1,TFAP2A,VENTX,WT1,XBP1,ZBTB7B,ZEB1,ZFX,ZHX2,ZNF148,ZNF263,ZNF300"
"pink","AEBP1,ASCL1,CREBZF,DDIT3,DLX5,DNMT3B,EGR4,ELF5,EP300,EZH2,FGF2,FOXN1,GLIS3,GTF3A,HEYL,HINFP,HOXA4,HOXB1,HOXC8,HOXD4,ING4,IRF2BPL,MBD1,MTA2,NACC1,NCOA3,NCOR1,NFYC,NKX2.2,NKX3.1,NPAS4,NPM1,NR2F6,PAX1,PML,PRDM1,RORA,RUNX2,SCX,SOX5,SP7,TBX2,TCF12,TCF4,VEZF1,ZFP64,ZIC2,ZNF384,ZNF410,ZNF699,ZNF804A"
