"Cell_subgroups","Methods-signatures"
"CD4.cells_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD4.cells
Epidish_CBSX.Melanoma.scRNAseq_CD4.cells
Epidish_CBSX.HNSCC.scRNAseq_CD4.cells
DeconRNASeq_CBSX.Melanoma.scRNAseq_CD4.cells
DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells
CBSX_CBSX.HNSCC.scRNAseq_CD4.cells
CBSX_CBSX.Melanoma.scRNAseq_CD4.cells"
"CD4.cells_Subgroup.3.Iteration.1","DeconRNASeq_CCLE.TIL10_CD4.cells
Epidish_CCLE.TIL10_CD4.cells
Epidish_TIL10_CD4.cells
CBSX_CCLE.TIL10_CD4.cells"
"CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.activated
CBSX_LM22_T.cells.CD4.memory.activated"
"CD8.cells_Subgroup.1.Iteration.1","MCP_CD8.cells
DeconRNASeq_CCLE.TIL10_CD8.cells
DeconRNASeq_BPRNACan_CD8.cells
Epidish_BPRNACan_CD8.cells
DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells"
"CD8.cells_Subgroup.2.Iteration.1","XCell_CD8.cells_central_memory
Epidish_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells"
"CD8.cells_Subgroup.3.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD8.cells
Epidish_LM22_CD8.cells"
"CD8.cells_Subgroup.4.Iteration.1","Epidish_CCLE.TIL10_CD8.cells
Epidish_TIL10_CD8.cells
CBSX_CCLE.TIL10_CD8.cells"
"CD8.cells_Subgroup.1.Iteration.2","CBSX_LM22_CD8.cells
CD8.cells_Subgroup.4.Iteration.1"
"CD8.cells_Subgroup.2.Iteration.2","CD8.cells_Subgroup.1.Iteration.1
CD8.cells_Subgroup.2.Iteration.1
CD8.cells_Subgroup.3.Iteration.1"
"T.cells.regulatory_Subgroup.1.Iteration.1","DeconRNASeq_CCLE.TIL10_T.cells.regulatory
DeconRNASeq_TIL10_T.cells.regulatory
Epidish_CCLE.TIL10_T.cells.regulatory"
"T.cells.helper_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.helper
Epidish_LM22_T.cells.helper"
"Dendritic.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Dendritic.cells
Epidish_CBSX.HNSCC.scRNAseq_Dendritic.cells
CBSX_CBSX.HNSCC.scRNAseq_Dendritic.cells"
"Dendritic.cells_Subgroup.2.Iteration.1","Epidish_CCLE.TIL10_Dendritic.cells
DeconRNASeq_TIL10_Dendritic.cells"
"Cancer_Subgroup.1.Iteration.1","CBSX_BPRNACan_Cancer
CBSX_BPRNACan3DProMet_Cancer
DeconRNASeq_BPRNACanProMet_Cancer"
"Cancer_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Cancer
Epidish_CBSX.HNSCC.scRNAseq_Cancer"
"Endothelial_Subgroup.1.Iteration.1","MCP_Endothelial
DeconRNASeq_CBSX.HNSCC.scRNAseq_Endothelial
DeconRNASeq_CBSX.Melanoma.scRNAseq_Endothelial
CBSX_CBSX.HNSCC.scRNAseq_Endothelial"
"Endothelial_Subgroup.1.Iteration.2","XCell_Endothelial
Endothelial_Subgroup.1.Iteration.1"
"Endothelial_Subgroup.1.Iteration.3","Epidish_CBSX.Melanoma.scRNAseq_Endothelial
Endothelial_Subgroup.1.Iteration.2"
"Plasma.cells_Subgroup.1.Iteration.1","XCell_B_cell_Plasma.cells
DeconRNASeq_LM22_Plasma.cells"
"Plasma.cells_Subgroup.1.Iteration.2","CBSX_LM22_Plasma.cells
Plasma.cells_Subgroup.1.Iteration.1"
"Mast.resting_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Mast.resting.cells
CBSX_LM22_Mast.resting.cells"
"Mast.resting_Subgroup.1.Iteration.2","Epidish_LM22_Mast.resting.cells
Mast.resting_Subgroup.1.Iteration.1"
"CAF_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_CAF
Epidish_CBSX.HNSCC.scRNAseq_CAF
CBSX_CBSX.HNSCC.scRNAseq_CAF
DeconRNASeq_CBSX.Melanoma.scRNAseq_CAF"
