"Cell_subgroups","Methods-signatures"
"B.cells_Subgroup.1.Iteration.1","Quantiseq_B.cells
DeconRNASeq_CCLE.TIL10_B.cells
DeconRNASeq_TIL10_B.cells
CBSX_BPRNACanProMet_B.cells
Epidish_BPRNACanProMet_B.cells
CBSX_TIL10_B.cells
XCell_B.cells
CBSX_CCLE.TIL10_B.cells"
"B.cells_Subgroup.3.Iteration.1","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_B.cells
CBSX_CBSX.NSCLC.PBMCs.scRNAseq_B.cells"
"B.cells_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_B.cells
DeconRNASeq_CBSX.Melanoma.scRNAseq_B.cells"
"B.cells_Subgroup.2.Iteration.2","CBSX_CBSX.Melanoma.scRNAseq_B.cells
B.cells_Subgroup.1.Iteration.1"
"B.memory_Subgroup.1.Iteration.1","DeconRNASeq_LM22_B.memory.cells
Epidish_LM22_B.memory.cells"
"Macrophages.cells_Subgroup.1.Iteration.1","CBSX_CBSX.HNSCC.scRNAseq_Macrophages.cells
DeconRNASeq_CBSX.Melanoma.scRNAseq_Macrophages.cells"
"Macrophages.cells_Subgroup.1.Iteration.2","Epidish_CBSX.Melanoma.scRNAseq_Macrophages.cells
Macrophages.cells_Subgroup.1.Iteration.1"
"Macrophages.cells_Subgroup.1.Iteration.3","CBSX_CBSX.Melanoma.scRNAseq_Macrophages.cells
Macrophages.cells_Subgroup.1.Iteration.2"
"Macrophages.M0_Subgroup.1.Iteration.1","Epidish_LM22_Macrophages.M0
CBSX_LM22_Macrophages.M0"
"Macrophages.M1_Subgroup.1.Iteration.1","DeconRNASeq_CCLE.TIL10_Macrophages.M1
Epidish_CCLE.TIL10_Macrophages.M1
CBSX_CCLE.TIL10_Macrophages.M1
DeconRNASeq_TIL10_Macrophages.M1"
"Macrophages.M1_Subgroup.2.Iteration.1","DeconRNASeq_LM22_Macrophages.M1
CBSX_LM22_Macrophages.M1"
"Macrophages.M1_Subgroup.1.Iteration.2","CBSX_TIL10_Macrophages.M1
Macrophages.M1_Subgroup.1.Iteration.1"
"Macrophages.M2_Subgroup.1.Iteration.1","Quantiseq_Macrophages.M2
DeconRNASeq_CCLE.TIL10_Macrophages.M2"
"Macrophages.M2_Subgroup.2.Iteration.1","DeconRNASeq_TIL10_Macrophages.M2
Epidish_TIL10_Macrophages.M2"
"Macrophages.M2_Subgroup.3.Iteration.1","DeconRNASeq_LM22_Macrophages.M2
Epidish_LM22_Macrophages.M2"
"Macrophages.M2_Subgroup.1.Iteration.2","Macrophages.M2_Subgroup.1.Iteration.1
Macrophages.M2_Subgroup.2.Iteration.1"
"Monocytes_Subgroup.1.Iteration.1","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes
CBSX_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes"
"Monocytes_Subgroup.2.Iteration.1","DeconRNASeq_CCLE.TIL10_Monocytes
Epidish_TIL10_Monocytes"
"Monocytes_Subgroup.4.Iteration.1","Epidish_LM22_Monocytes
CBSX_LM22_Monocytes"
"Monocytes_Subgroup.1.Iteration.2","Epidish_CCLE.TIL10_Monocytes
Monocytes_Subgroup.2.Iteration.1"
"Monocytes_Subgroup.2.Iteration.2","CBSX_CCLE.TIL10_Monocytes
CBSX_TIL10_Monocytes"
"Neutrophils_Subgroup.1.Iteration.1","MCP_Neutrophils
DeconRNASeq_BPRNACan_Neutrophils
DeconRNASeq_TIL10_Neutrophils"
"Neutrophils_Subgroup.2.Iteration.1","DeconRNASeq_CCLE.TIL10_Neutrophils
Epidish_CCLE.TIL10_Neutrophils
CBSX_CCLE.TIL10_Neutrophils"
"Neutrophils_Subgroup.3.Iteration.1","Epidish_LM22_Neutrophils
CBSX_LM22_Neutrophils
Epidish_TIL10_Neutrophils
CBSX_TIL10_Neutrophils"
"Neutrophils_Subgroup.1.Iteration.2","Neutrophils_Subgroup.1.Iteration.1
Neutrophils_Subgroup.3.Iteration.1"
"NK.cells_Subgroup.1.Iteration.1","Quantiseq_NK.cells
DeconRNASeq_CCLE.TIL10_NK.cells"
"NKT.cells_Subgroup.1.Iteration.1","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells
CBSX_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells"
"CD4.cells_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACan_CD4.cells
Epidish_BPRNACanProMet_CD4.cells
Epidish_BPRNACan_CD4.cells
DeconRNASeq_BPRNACan3DProMet_CD4.cells"
