"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FLNA",6.53876844686732e-36,0.758011716988799,0.632,0.389,1.56309259722363e-31,"0","FLNA"
"GZMM",1.22570773038946e-35,0.684174516892364,0.701,0.44,2.930054329496e-31,"0","GZMM"
"RAP1B",5.34324540480152e-35,0.66428501482866,0.701,0.475,1.2773028140178e-30,"0","RAP1B"
"KLRD1",5.42028200055443e-34,0.547946611137808,0.888,0.729,1.29571841223254e-29,"0","KLRD1"
"KLRG1",1.64583591163654e-33,0.730801868687155,0.56,0.295,3.93437074676716e-29,"0","KLRG1"
"ZNF683",1.78971706954785e-33,-1.19399505693472,0.075,0.29,4.27831865475412e-29,"0","ZNF683"
"PXN",1.82276411652183e-33,0.731556516644744,0.298,0.091,4.35731762054543e-29,"0","PXN"
"TRAT1",1.06400818720428e-32,-0.86219892567792,0.058,0.262,2.54351157151183e-28,"0","TRAT1"
"CXCR6",1.58846676691938e-32,-0.889167388701812,0.013,0.183,3.79722980632077e-28,"0","CXCR6"
"RASSF1",1.60135451700577e-32,0.748914161206066,0.467,0.227,3.8280379729023e-28,"0","RASSF1"
"RPL28",1.76973628658224e-32,-0.307397219805533,0.998,0.995,4.23055459307484e-28,"0","RPL28"
"CSF1",1.78876962459081e-32,-1.29684072324883,0.018,0.192,4.27605378758432e-28,"0","CSF1"
"SIRPG",2.80409429578198e-32,-0.778539723595178,0.025,0.205,6.70318741406682e-28,"0","SIRPG"
"MYL12A",1.10280760915865e-31,0.528849326560602,0.932,0.848,2.63626158969376e-27,"0","MYL12A"
"AKR1C3",1.42370094744277e-31,0.656357588658562,0.123,0.003,3.40335711486193e-27,"0","AKR1C3"
"ASCL2",2.5961854914707e-31,0.584797502929191,0.151,0.015,6.2061814173607e-27,"0","ASCL2"
"HLA-DRA",2.68120643531486e-31,-1.00441256299177,0.095,0.311,6.40942398362016e-27,"0","HLA-DRA"
"GEM",4.6672023428807e-31,-0.965255114691616,0.01,0.169,1.11569472006563e-26,"0","GEM"
"RBPJ",1.19902680307428e-30,-0.809100609639279,0.086,0.297,2.86627357274906e-26,"0","RBPJ"
"S100B",3.21216243248206e-30,1.38743456062128,0.168,0.025,7.67867429484836e-26,"0","S100B"
"XCL1",4.06284637561721e-29,-1.67302695699402,0.226,0.447,9.71223426091294e-25,"0","XCL1"
"CTSA",4.62218229004863e-29,-0.754960665058968,0.104,0.317,1.10493267643612e-24,"0","CTSA"
"PTGER2",8.79678710195114e-29,0.673297573685777,0.331,0.125,2.10287195672142e-24,"0","PTGER2"
"CCL4",1.76793604142446e-28,0.58899795026972,0.919,0.748,4.22625110702518e-24,"0","CCL4"
"SUN2",2.79224705443848e-28,0.649926473823011,0.609,0.406,6.67486658363518e-24,"0","SUN2"
"LEPROTL1",4.3286988380072e-28,-0.808399194879613,0.39,0.609,1.03477545722562e-23,"0","LEPROTL1"
"JAML",2.5576401241035e-27,-0.620594829402536,0.011,0.154,6.11403871666941e-23,"0","JAML"
"TBX21",3.31190826523779e-27,0.725856209943744,0.436,0.227,7.91711670805093e-23,"0","TBX21"
"CXCR3",3.83248606464126e-27,-0.747103344091449,0.062,0.245,9.16155793752493e-23,"0","CXCR3"
"LMNA",3.97873496195986e-27,-1.46924122578953,0.119,0.322,9.51116592656504e-23,"0","LMNA"
"LAIR2",4.41912850997347e-27,0.671162004387265,0.159,0.026,1.05639267030916e-22,"0","LAIR2"
"PTMA",4.51124585199688e-27,-0.43516462600725,0.979,0.983,1.07841332091985e-22,"0","PTMA"
"RASGRP2",6.66233823571349e-27,0.688503721579661,0.271,0.092,1.59263195524731e-22,"0","RASGRP2"
"RPS15A",6.78759497858924e-27,-0.263565262009344,0.996,0.995,1.62257457963176e-22,"0","RPS15A"
"SYNE1",1.08152006688299e-26,0.708346208810448,0.422,0.207,2.58537371988378e-22,"0","SYNE1"
