"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGFBP2",2.08460609594769e-101,1.89548593371525,0.77,0.187,4.98325087236295e-97
"FCGR3A",2.68967604357574e-92,1.85860456526627,0.725,0.175,6.42967058216781e-88
"GZMK",2.44395722196532e-74,-2.33065401366759,0.112,0.538,5.8422797391081e-70
"GNLY",7.50501944505041e-68,1.09828833777124,0.959,0.592,1.7940748983393e-63
"ADGRG1",2.47427509078513e-57,1.22630997552031,0.585,0.156,5.91475460452186e-53
"GZMB",4.88309916799668e-53,1.13478919437545,0.855,0.459,1.16730485610961e-48
"SPON2",3.14262118111522e-49,1.58190278387076,0.567,0.193,7.51243593345592e-45
"PRF1",1.02985632956447e-42,1.10490490284788,0.816,0.541,2.46187155582386e-38
"DUSP4",1.42375033095113e-40,-1.54951702436544,0.038,0.284,3.40347516613867e-36
"MYOM2",3.24330456353166e-32,1.50511093513896,0.242,0.017,7.75311955912243e-28
"IL7R",3.97913707161018e-32,-1.30346073474289,0.204,0.491,9.51212716968414e-28
"RGS1",1.44246574665375e-20,-1.03999986890825,0.246,0.459,3.4482143673758e-16
"RGCC",1.82451899463353e-18,-1.2214217217114,0.222,0.417,4.36151265667146e-14
"S100B",8.00224023992364e-14,1.23423795899411,0.168,0.042,1.91293552935375e-09
"LMNA",9.39433297169988e-12,-1.09484727832967,0.119,0.25,2.24571529688486e-07
