"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TTC38",8.41527068876505e-30,1.0070229908877,0.354,0.097,2.01167045814928e-25
"FABP5",3.52369930304876e-29,-1.04717729460883,0.092,0.33,8.42340318393805e-25
"ID3",1.00727601971069e-28,-1.21833514474547,0.049,0.253,2.4078933251184e-24
"ISG15",4.22269828050077e-27,-1.01234086837906,0.18,0.443,1.00943602395371e-22
"S100B",2.0871207179655e-22,1.56820910501893,0.168,0.007,4.98926207629652e-18
"ATF3",3.77140668193021e-20,-1.0205028325791,0.13,0.339,9.01554767315417e-16
"HSPB1",2.07046829618126e-14,-1.44486318729009,0.379,0.565,4.94945446202129e-10
"BAG3",2.30802996488002e-14,-1.61509526126813,0.088,0.226,5.51734563104569e-10
"TRBV9",5.80826145966367e-14,1.24718898530557,0.106,0.005,1.3884649019326e-09
"SERPINH1",3.62779139995261e-11,-1.17190773173246,0.033,0.124,8.67223534158671e-07
