"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGFBP2",1.00730450013112e-150,2.93590399923422,0.77,0.023,2.40796140756344e-146
"DUSP4",2.92275475076596e-149,-2.88137756370488,0.038,0.691,6.98684523170603e-145
"FCGR3A",1.5205232452284e-120,2.52130152975208,0.725,0.078,3.6348108177185e-116
"NKG7",7.29914390298183e-105,1.11532402772826,0.998,0.94,1.74486035000781e-100
"LDLRAD4",4.84474666637011e-86,-2.08322398425996,0.036,0.47,1.15813669059578e-81
"SPON2",5.84794130622426e-86,2.39843237324021,0.567,0.058,1.39795036925291e-81
"GAPDH",1.4234825547175e-85,-1.40150633484763,0.903,0.982,3.40283504705218e-81
"KIR2DL4",2.54087858778996e-81,-1.68967104991992,0.066,0.514,6.0739702641119e-77
"KLF2",1.58444701943375e-80,1.52263761803298,0.783,0.299,3.78762059995638e-76
"RGCC",2.17901938859824e-80,-2.07151060190251,0.222,0.705,5.2089458484441e-76
"LGALS3",7.39295778233682e-80,-1.49983829307337,0.077,0.53,1.76728655786762e-75
"KRT86",4.53492869940734e-79,-2.15796373532198,0.014,0.399,1.08407470559332e-74
"COTL1",7.18335478998067e-72,-1.52044567661642,0.255,0.703,1.71718096254488e-67
"TXNIP",2.80590321755904e-71,1.56579714639654,0.847,0.528,6.70751164157488e-67
"CAPG",4.89473582493126e-71,-1.27950319342389,0.019,0.378,1.17008659894982e-66
"GZMH",5.37968846263582e-69,1.34307749505042,0.867,0.565,1.28601452699309e-64
"ZNF683",1.68526022129167e-66,-1.71136665086086,0.075,0.468,4.02861455899773e-62
"ITM2C",3.62472722036091e-65,-1.34091628314668,0.021,0.364,8.66491042027275e-61
"PLAC8",4.12717867451217e-64,1.59056030995204,0.509,0.078,9.86602062142135e-60
"VIM",2.86516457015107e-63,-1.63198702219667,0.751,0.949,6.84917590494613e-59
"S1PR5",3.70346693635634e-63,1.58094930650611,0.429,0.021,8.85313771135983e-59
"ADGRG1",1.01744080366623e-61,1.45762645351272,0.585,0.15,2.43219224116413e-57
"RBPJ",2.25171527574783e-61,-1.24895902362193,0.086,0.472,5.38272536667519e-57
"CSF1",3.59081537078718e-61,-1.86459574369848,0.018,0.336,8.58384414386676e-57
"CD7",4.69125012168749e-59,-1.15541362336368,0.681,0.894,1.12144334158939e-54
"GEM",5.96432091975882e-59,-1.470477240972,0.01,0.306,1.42577091586834e-54
"ITGB2",2.62961887096676e-57,1.11047863365423,0.846,0.601,6.28610391104603e-53
"SAMSN1",1.89151414851524e-54,-1.23234565144592,0.263,0.671,4.52166457202569e-50
"LINC02446",1.04303830871202e-53,-2.03949023866877,0.16,0.518,2.49338307697609e-49
"KLRG1",1.60188595358552e-52,1.38134702289025,0.56,0.17,3.82930837204618e-48
"SIRPG",1.88161555207666e-51,-1.05534812362569,0.025,0.311,4.49800197723925e-47
"EFHD2",1.22181078337035e-50,1.34491662705177,0.551,0.178,2.92073867764682e-46
"PLP2",1.83674829412564e-50,-1.05544493834848,0.147,0.527,4.39074679710735e-46
"ALOX5AP",2.55218516192026e-50,-1.22073100263921,0.311,0.691,6.10099862957037e-46
"PLEK",9.01462209064204e-50,1.35091691287384,0.498,0.125,2.15494541076798e-45
"HLA-DRA",9.5164814978793e-50,-1.31874531261554,0.095,0.435,2.27491490206805e-45
"CXCR6",1.33955340106251e-48,-1.21072584162458,0.013,0.269,3.20220240523994e-44
"RGS1",2.53633746234135e-48,-1.17015443877887,0.246,0.64,6.06311470372699e-44
"CTSA",2.85745931287537e-48,-1.03625251435498,0.104,0.449,6.83075648742857e-44
"GZMM",3.5340065510414e-46,1.09242795155489,0.701,0.38,8.44804266026447e-42
"SPRY1",5.10161120930779e-46,-1.10087978303947,0.013,0.258,1.21954015958503e-41
"CD44",5.23320617244331e-45,-1.02932658976963,0.462,0.774,1.25099793552257e-40
"KLRC1",1.44683102335442e-44,-1.45560131256627,0.063,0.359,3.45864956132873e-40
"KLRC2",5.35899066100842e-43,-1.12435109099194,0.249,0.624,1.28106671751406e-38
"TNFRSF18",8.33054360169164e-43,-1.19682855643372,0.064,0.353,1.99141644798439e-38
"KLRF1",2.42217807457388e-42,1.33468972926496,0.434,0.097,5.79021668726886e-38
"CRIP1",6.79066805079546e-42,-1.30158656639898,0.737,0.906,1.62330919754265e-37
"GALNT2",2.18025483380709e-41,-1.02700196861867,0.054,0.327,5.21189918021586e-37
"CCND3",2.45453378148759e-41,1.05774050213402,0.662,0.367,5.86756300464608e-37
"ITGAE",3.32421392129839e-41,-1.01525554141991,0.119,0.436,7.94653337886381e-37
"PRSS23",4.99593915342317e-41,1.2090114673941,0.293,0.012,1.19427925462581e-36
"PHLDA1",1.11379189539802e-40,-1.19894872259238,0.138,0.456,2.66251952594896e-36
"KRT81",1.61182739036426e-39,-1.13471020159354,0.006,0.208,3.85307337666575e-35
"GZMK",6.20823379888751e-39,-1.35722810614402,0.112,0.415,1.48407828962406e-34
"TNF",9.97230531975504e-39,1.80589580508167,0.515,0.193,2.38387958668744e-34
"XCL1",1.79272444090836e-38,-2.16031930647756,0.226,0.532,4.28550777599144e-34
"BIN2",2.26764846129845e-38,1.11101901111525,0.601,0.314,5.42081364673394e-34
"MYOM2",2.21221272926112e-36,1.62742792275453,0.242,0,5.28829452929871e-32
"LMNA",1.01821956512296e-34,-1.77990917847407,0.119,0.398,2.43405387042643e-30
"TRDV1",7.09119900201194e-34,-1.67266258281495,0.045,0.269,1.69515112143095e-29
"HLA-DRB1",1.10995672550228e-32,-1.19627719190046,0.368,0.638,2.65335155231321e-28
"SYNE1",1.7171234783739e-30,1.08417836242332,0.422,0.154,4.10478367505282e-26
"MYBL1",2.80961622885085e-30,1.00378392438919,0.274,0.039,6.71638759506796e-26
